CALLS,,PUTS,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,5,3,15,-,"2,532.90",-224.55,200,"2,625.15","2,789.20",200,"14,350.00","7,250",0.25,0.30,"39,800",-0.15,0.25,73.63,"6,233",-157,"6,436",
,-,-,-,-,-,-,500,"2,514.55","2,685.95",200,"14,400.00","8,750",0.25,0.30,"1,200",-0.15,0.30,72.22,"1,614",-72,"1,378",
,-,-,-,-,-,-,100,"2,516.65","2,588.25",450,"14,450.00","3,850",0.30,0.35,750,-0.20,0.35,72.87,157,36,119,
,2,-,-,-,-,-,600,"2,418.65","2,540.10",100,"14,500.00","52,800",0.25,0.30,"34,850",-0.10,0.30,69.40,"6,690","-1,714","3,799",
,-,-,1,219.78,"2,651.25","1,183.30",100,"2,279.60","2,518.55",100,"14,550.00","1,050",0.30,0.35,"1,900",-0.15,0.35,69.99,"4,144",75,146,
,-,-,5,233.56,"2,653.80",65.75,"1,000","2,009.90","2,502.35",100,"14,600.00","2,000",0.30,0.40,450,-0.15,0.35,68.55,"2,240",111,270,
,-,-,-,-,-,-,200,"2,319.50","2,457.05","1,000","14,650.00",50,0.40,0.55,900,-0.15,0.40,67.92,"1,961",52,114,
,-,-,-,-,-,-,100,"2,270.40","2,417.20",100,"14,700.00",100,0.45,0.50,"6,250",-,0.45,67.19,"6,530",111,325,
,-,-,-,-,-,-,100,"2,217.05","2,287.30",100,"14,750.00",50,0.40,0.60,350,-0.20,0.50,66.38,885,29,309,
,-,-,-,-,-,-,700,"2,148.00","2,292.10",200,"14,800.00",900,0.45,0.50,"1,400",-0.10,0.45,64.91,"7,678",-2,120,
,-,-,1,203.51,"2,362.05",75.45,100,"1,578.45","2,229.00",100,"14,850.00","1,800",0.35,0.60,600,-0.20,0.55,64.03,"1,875",-4,40,
,-,-,-,-,-,-,100,"2,052.35","2,279.75",100,"14,900.00",350,0.50,0.60,500,-0.10,0.50,59.99,772,17,121,
,-,-,1,197.04,"2,262.60",765.00,"1,100","1,829.45","2,135.25","1,000","14,950.00","3,600",0.30,0.65,250,-0.30,0.55,61.08,461,32,78,
,3,-,4,189.11,"2,197.75",42.10,100,"1,964.70","2,094.05","2,000","15,000.00","10,250",0.45,0.50,"9,150",-0.10,0.50,60.12,"10,795","-1,505","3,453",
,-,-,-,-,-,-,100,"1,920.95","1,992.10",100,"15,050.00",150,0.50,0.75,"1,000",-0.20,0.45,57.05,683,-31,24,
,-,-,-,-,-,-,100,"1,866.20","2,048.65",100,"15,100.00","2,000",0.50,0.55,"1,000",-0.05,0.55,57.17,908,-243,266,
,-,-,-,-,-,-,100,"1,818.40","1,976.80",100,"15,150.00",700,0.60,0.70,"1,600",-0.05,0.65,56.15,"3,643",5,70,
,-,-,-,-,-,-,100,"1,767.15","1,896.30",100,"15,200.00",350,0.60,0.75,200,0.05,0.75,55.47,"1,796",-290,478,
,2,2,4,182.15,"1,980.10",724.20,100,"1,722.30","1,768.65",450,"15,250.00","1,500",0.50,0.90,400,-0.20,0.55,52.31,"3,066",-,18,
,-,-,2,176.39,"1,702.45",-181.05,600,"1,647.55","1,796.15","1,100","15,300.00",50,0.70,0.75,"1,550",-0.05,0.70,51.71,"1,802",-246,340,
,-,-,5,181.02,"1,900.30",110.35,100,"1,622.90","1,667.60",450,"15,350.00","1,500",0.55,0.90,50,0.15,0.85,51.33,"8,247",-,26,
,2,2,4,166.12,"1,809.55",666.50,50,"1,581.95","1,598.70",50,"15,400.00",200,0.65,0.75,300,-0.05,0.70,50.46,"2,128",-52,790,
,1,-,-,-,-,-,200,"1,507.15","1,586.70",100,"15,450.00",750,0.75,0.95,350,0.15,1.00,47.65,"9,225",-27,95,
,10,-,-,-,-,-,200,"1,482.90","1,497.80",150,"15,500.00",550,0.85,0.90,750,-,0.90,48.74,"27,755","-1,161","11,754",
,-,-,-,-,-,-,200,"1,407.95","1,486.00",200,"15,550.00",150,0.75,0.80,500,-0.25,0.75,45.62,605,35,118,
,4,-,1,126.49,"1,519.65",-52.35,50,"1,382.50","1,398.25",50,"15,600.00","1,400",0.75,0.80,150,-0.05,0.80,45.41,"4,109",-352,725,
,3,-,4,88.90,"1,372.80",-143.60,50,"1,329.95","1,382.80",150,"15,650.00",250,0.75,0.80,100,-0.10,0.80,44.52,"1,024",23,214,
,2,-,-,-,-,-,100,"1,283.35","1,297.55",100,"15,700.00","1,550",0.85,0.90,"1,200",-0.05,0.90,43.92,"9,535",-417,"2,139",
,41,1,5,83.80,"1,227.55",-216.65,500,"1,230.90","1,282.20",800,"15,750.00",900,0.95,1.00,50,0.05,1.00,42.99,"3,331",46,324,
,-,-,1,101.96,"1,280.40",-572.90,100,"1,185.00","1,197.10",800,"15,800.00","1,300",1.15,1.20,"2,700",-,1.15,41.53,"23,587",-353,"5,214",
,-,-,-,-,-,-,100,"1,131.65","1,182.10",200,"15,850.00",450,1.10,1.15,950,-0.05,1.10,40.06,"5,689",356,734,
,1,-,1,76.93,"1,125.35",-169.20,50,"1,085.50","1,101.50",150,"15,900.00","2,800",1.30,1.35,"2,450",0.05,1.35,39.10,"21,385",449,"4,119",
,1,-,-,-,-,-,"1,950","1,009.20","1,047.65",100,"15,950.00","1,750",1.30,1.40,"2,100",0.05,1.40,38.27,"5,621",90,362,
,167,-,45,95.83,984.35,-183.10,200,986.80,997.65,450,"16,000.00","3,350",1.45,1.50,"19,800",0.05,1.50,37.11,"1,28,228","-8,242","32,530",
,4,-,-,-,-,-,"1,000",936.80,949.15,600,"16,050.00",100,1.65,1.70,"2,600",0.20,1.65,35.97,"6,971",-347,590,
,14,1,23,122.01,910.00,-181.60,200,887.45,914.95,50,"16,100.00","2,850",1.80,1.85,"1,850",0.25,1.90,35.15,"43,048","-2,215","5,057",
,3,-,9,-,803.75,-233.90,400,833.95,847.50,600,"16,150.00",400,2.10,2.20,"2,700",0.30,2.15,33.74,"9,417",-688,872,
,54,-,13,31.42,752.60,-235.10,200,788.45,815.95,50,"16,200.00","3,900",2.25,2.30,100,0.30,2.30,32.09,"92,282","-1,981","18,222",
,4,-,1,42.47,736.65,-154.70,400,735.00,746.25,50,"16,250.00","2,050",2.70,2.80,550,0.55,2.75,31.94,"15,731",-152,"1,961",
,54,-3,31,-,655.70,-256.85,"4,100",689.25,692.55,150,"16,300.00","1,900",3.20,3.25,"1,550",0.80,3.25,30.70,"1,25,338",207,"14,052",
,3,-1,9,37.66,614.85,-255.95,600,636.45,647.65,500,"16,350.00","2,500",3.95,4.05,"3,100",1.00,4.00,30.85,"27,934",355,"3,216",
,35,-,130,-,594.60,-194.30,100,592.80,594.60,150,"16,400.00","2,000",4.80,4.85,"4,200",1.20,4.80,30.17,"1,70,297","-1,038","21,450",
,21,9,17,60.39,624.55,-120.45,600,538.05,548.95,200,"16,450.00","2,400",5.85,5.90,"1,500",1.55,5.80,29.00,"52,666",-393,"6,258",
